Account Id, 1st LoR, 2nd LoR, 500 Word Writing Sample, High School Transcript, Opportunity Id, 1st LoR, 2nd LoR, 500 Word Writing Sample, High School Transcript 
0013h00000KpR43AAF,false,false,false,false,0063h000009W5rSAAS,true,false,false,true
0013h00000KpjhxAAB,false,false,false,false,0063h000009W6gmAAC,false,false,false,true
0013h00000KpozWAAR,false,false,false,false,0063h000009W72AAAS,false,false,false,true
0013h00000Kpr6hAAB,false,false,false,false,0063h000009W7CFAA0,false,false,false,true
0013h00000Kpr8YAAR,false,false,false,false,0063h000009W7CjAAK,true,false,false,false
0013h00000KptISAAZ,false,false,false,false,0063h000009W7KiAAK,false,false,false,true
0013h00000Kpu7rAAB,false,false,false,false,0063h000009W7QXAA0,true,false,false,true
0013h00000KpyI7AAJ,false,false,false,false,0063h000009W7VXAA0,true,false,false,false
0013h00000KpziKAAR,false,false,false,false,0063h000009W7Z5AAK,false,false,false,true
0013h00000KqFtlAAF,false,false,false,false,0063h000009W7xZAAS,false,false,false,true
0013h00000KqOrsAAF,false,false,false,false,0063h000009W8ExAAK,true,true,false,true
0013h00000KqafBAAR,false,false,false,false,0063h000009WAjGAAW,true,true,false,true
0013h00000KqsXRAAZ,false,false,false,false,0063h000009WBGSAA4,false,false,false,true
0013h00000KqxLcAAJ,false,false,false,false,0063h000009WBTqAAO,true,false,false,true
0013h00000M1bW3AAJ,false,false,false,false,0063h0000099p10AAA,true,false,false,true
0013h00000M1bqlAAB,false,false,false,false,0063h0000099p0vAAA,false,false,false,true
0013h00000M1d85AAB,false,false,false,false,0063h0000099p5CAAQ,false,false,false,true
0013h00000M1m8EAAR,false,false,false,false,0063h0000099pZMAAY,false,false,false,true
0013h00000M1mAUAAZ,false,false,false,false,0063h0000099pZWAAY,false,false,false,true
0013h00000M1mrdAAB,false,false,false,false,0063h0000099pajAAA,false,false,false,true
0013h00000M1p2nAAB,false,false,false,false,0063h0000099pcQAAQ,false,false,false,true
0013h00000M1phgAAB,false,false,false,false,0063h0000099pcuAAA,false,false,true,true
0013h00000M2nO0AAJ,false,false,false,false,0063h0000099rcAAAQ,true,true,false,true
0013h00000M2oFgAAJ,false,false,false,false,0063h0000099rfJAAQ,false,false,false,true
0013h00000M3AkGAAV,false,false,false,false,0063h0000099sCbAAI,true,true,false,true
0013h00000M3CQeAAN,false,false,false,false,0063h0000099sKDAAY,false,false,false,true
0013h00000M3DKQAA3,false,false,false,false,0063h0000099sNCAAY,true,true,false,true
0013h00000M3FleAAF,false,false,false,false,0063h0000099sa1AAA,false,false,false,true
0013h00000M3MfGAAV,false,false,false,false,0063h0000099skzAAA,false,false,false,true
0013h00000M47VzAAJ,false,false,false,false,0063h0000099tLCAAY,false,false,false,true
0013h00000M48iBAAR,false,false,false,false,0063h0000099tSNAAY,false,false,false,true
0013h00000OzCS3AAN,false,false,false,false,0063h0000099vnAAAQ,true,true,false,true
0013h00000OzCS3AAN,false,false,false,false,0063h000009W709AAC,false,false,false,true
0013h00000OzuGKAAZ,false,false,false,false,0063h000009A2XBAA0,false,false,false,true
0013h00000P0U4JAAV,false,false,false,false,0063h000009A3bIAAS,true,false,false,true
0013h00000P0ZGDAA3,false,false,false,false,0063h000009A3xlAAC,true,false,false,true
0013h00000P0ZxcAAF,false,false,false,false,0063h000009A3yKAAS,true,false,false,true
0013h00000P1SFkAAN,false,false,false,false,0063h000009A4VUAA0,true,true,false,true
0013h00000P1VWfAAN,false,false,false,false,0063h000009A4aoAAC,false,false,false,true
0013h00000P1byrAAB,false,false,false,false,0063h000009A4sIAAS,true,false,false,true
0013h00000P1i5UAAR,false,false,false,false,0063h000009A55fAAC,true,false,false,true
